,Image Name,Prediction
0,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191337.wav at 0.474229.png,0
1,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213625.wav at 2.9643479999999998.png,1
2,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 11.495853.png,1
3,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200634.wav at 5.359947.png,1
4,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_201038.wav at 1.962331.png,1
5,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 3.479243.png,4
6,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191133.wav at 1.442852.png,1
7,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_223847.wav at 5.395734.png,1
8,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_190644.wav at 8.140997.png,4
9,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221556.wav at 1.210256.png,1
10,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_192017.wav at 4.063809.png,1
11,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 4.132326.png,1
12,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 4.955649.png,1
13,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 8.342316.png,1
14,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 7.635838000000001.png,1
15,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_200709.wav at 4.713831.png,1
16,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221556.wav at 0.6540199999999999.png,1
17,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224025.wav at 10.801197.png,1
18,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183612.wav at 3.3645120000000004.png,4
19,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221545.wav at 2.310858.png,1
20,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 9.899455999999999.png,4
21,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_212516.wav at 4.979462.png,1
22,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184907.wav at 5.385023.png,1
23,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_221742.wav at 8.254319.png,1
24,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 7.5335350000000005.png,1
25,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 10.431902000000001.png,1
26,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191303.wav at 4.6910620000000005.png,2
27,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_194130.wav at 6.191389.png,1
28,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_183456.wav at 6.066644999999999.png,1
29,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215048.wav at 6.632047999999999.png,1
30,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 4.962171.png,1
31,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_222404.wav at 6.583672999999999.png,1
32,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191354.wav at 3.8701800000000004.png,2
33,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190218_190818.wav at 5.091035.png,1
34,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_213459.wav at 3.1901599999999997.png,1
35,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 4.51123.png,3
36,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191227.wav at 12.149833000000001.png,1
37,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_184700.wav at 4.724727.png,1
38,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 5.4423330000000005.png,1
39,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_224458.wav at 9.791841.png,4
40,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_191319.wav at 11.141209.png,4
41,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_215847.wav at 7.879455999999999.png,1
42,/content/spectrograms_normalized/batsnet_train/1/WWNP-HQ_20190219_202649.wav at 4.957807.png,1
